# jubarte convert baseline (398 set), jubarte 0.9.0, 2026-09-05
# mean Jaccard 53.10, median 43.50, n=398
# ratchet: row drop >1.0 or mean drop >0.2 is a regression (planning/plan.md)
stem	jaccard	ssim	text_boundary
source__italic_text_formatting_demo_id_paraid_overflow	98.0774	99.6235	100.0000
source__italic_text_formatting_demo_id_paraid_overflow_2	99.1016	99.8031	100.0000
source__italic_underline_combined_demo_id_paraid_overflow	74.1003	94.3668	100.0000
source__justified_underline_demo_id_paraid_overflow	96.3198	99.2249	100.0000
source__justify_alignment_demo_id_paraid_overflow	88.1976	96.2763	100.0000
source__justify_alignment_demo_id_paraid_overflow_2	94.8902	98.6635	100.0000
source__large_font_size_demo_id_paraid_overflow	78.7504	97.0639	100.0000
source__left_alignment_demo_id_paraid_overflow	96.4727	99.2208	100.0000
source__line_spacing_demo_id_paraid_overflow	85.4989	99.4679	100.0000
source__marketing_strategy_2026_suggesting_insertions	96.5697	99.0302	100.0000
source__mcdoc	68.2848	77.9897	100.0000
source__meeting_agenda_table	13.3850	70.9903	100.0000
source__meeting_agenda_table_2	13.8719	73.7218	100.0000
source__meeting_minutes_id_paraid_overflow	98.6467	99.7154	100.0000
source__meeting_minutes_suggesting_insertions	95.6913	97.8008	100.0000
source__multi_section	18.1372	28.8551	84.2105
source__nested_table_rowspan	1.7787	15.7062	0.0000
source__numbered_list_demo_id_paraid_overflow	27.9265	40.5209	20.0000
source__numbered_list_italic_demo_id_paraid_overflow	97.6145	99.4568	100.0000
source__numwords_fldsimple	62.0553	96.4007	100.0000
source__ole_object	43.4967	56.1413	29.9270
source__ooxml_style_link	4.2350	10.0470	91.3043
source__open_sans_bold_underline_id_paraid_overflow	13.4145	37.2521	100.0000
source__open_sans_font_demo_id_paraid_overflow	7.9604	22.9826	100.0000
source__open_sans_font_demo_id_paraid_overflow_2	8.4237	25.4950	100.0000
source__page_numbering_examples	18.1372	28.8551	84.2105
source__potpourritest	9.4791	24.0466	22.6804
source__product_roadmap_2026_suggesting_insertions	96.1565	98.3859	100.0000
source__project_plan_suggesting_insertions	96.3776	98.8538	100.0000
source__project_proposal_id_paraid_overflow	96.9300	99.2703	100.0000
source__project_proposal_suggesting_insertions	91.6843	96.9277	100.0000
source__project_tasks_suggesting_insertions	13.3181	71.6121	100.0000
source__project_tasks_suggesting_insertions_2	58.9740	71.5238	33.3333
source__q1_sales_summary_table	14.6756	74.0533	100.0000
